iter,lat
1,2184
2,5678
3,5894
4,6214
5,6198
6,5892
7,7644
8,38478
9,5864
10,5934
11,6418
12,5918
13,5900
14,5906
15,5922
16,5652
17,5956
18,5750
19,6342
20,5630
21,6132
22,5892
23,6308
24,5882
25,5652
26,5854
27,5884
28,5878
29,5668
30,5898
31,5888
32,5864
33,6762
34,5890
35,5860
36,6204
37,5860
38,5658
39,5864
40,5856
41,6242
42,5896
43,5640
44,6396
45,5850
46,5654
47,5872
48,5882
49,5904
50,5890
51,5890
52,3392
53,7974
54,5972
55,5972
56,6182
57,6242
58,5882
59,5878
60,5904
61,6234
62,5878
63,7012
64,5900
65,7456
66,5676
67,6042
68,5850
69,6008
70,5638
71,6270
72,5864
73,2002
74,6344
75,5688
76,8062
77,5972
78,6736
79,5958
80,6774
81,7582
82,5478
83,5964
84,6080
85,5882
86,5872
87,6230
88,5836
89,5858
90,5890
91,7042
92,5890
93,6014
94,6170
95,5860
96,6238
97,5848
98,5628
99,5860
100,5906
101,5890
102,6028
103,5902
104,5870
105,5890
106,5894
107,5856
108,5858
109,7846
110,5858
111,6228
112,5680
113,5902
114,6022
115,5874
116,5872
117,6318
118,5882
119,5858
120,5652
121,5890
122,5658
123,7446
124,5874
125,5670
126,5888
127,5864
128,5874
129,6816
130,5882
131,5870
132,5876
133,5890
134,5894
135,5842
136,7018
137,5878
138,5884
139,6058
140,5878
141,5650
142,5896
143,8864
144,5882
145,5916
146,5900
147,5864
148,5862
149,5680
150,5884
151,5854
152,5668
153,6364
154,5902
155,6396
156,5922
157,5890
158,6650
159,5864
160,5894
161,5636
162,5854
163,6078
164,5894
165,7656
166,5860
167,6136
168,7138
169,5880
170,5846
171,5878
172,6000
173,5888
174,6276
175,5884
176,6284
177,5890
178,5862
179,5648
180,5860
181,5858
182,6066
183,5904
184,5664
185,27510
186,5638
187,5882
188,5874
189,5872
190,5650
191,7342
192,5898
193,8034
194,5856
195,5880
196,5672
197,5866
198,6240
199,5668
200,5862
201,5880
202,5870
203,6024
204,5892
205,5884
206,5890
207,6350
208,5852
209,5650
210,5848
211,7436
212,5848
213,5866
214,6238
215,5680
216,6216
217,5842
218,5868
219,5842
220,5866
221,5860
222,5844
223,5852
224,5884
225,5906
226,5906
227,6232
228,5882
229,6314
230,5854
231,1978
232,6474
233,5446
234,5850
235,10114
236,1774
237,10228
238,1822
239,5712
240,5514
241,6000
242,6124
243,7404
244,6188
245,5894
246,5642
247,5900
248,5884
249,5882
250,5622
251,5898
252,7256
253,5632
254,5876
255,5872
256,5852
257,5880
258,5886
259,5876
260,5656
261,5864
262,6322
263,5860
264,5878
265,6172
266,5870
267,5878
268,6208
269,5878
270,5876
271,5882
272,5872
273,5864
274,5874
275,6262
276,5896
277,5852
278,5864
279,7866
280,5862
281,5654
282,7668
283,5828
284,5868
285,5854
286,5896
287,5894
288,5898
289,5876
290,5858
291,6212
292,5866
293,5844
294,6840
295,5652
296,5884
297,1976
298,6764
299,6206
300,7004
