iter,long_lat
0,10
1,4
2,7
3,7
4,9
5,1
6,5
7,2
8,1
9,3
10,3
11,9
12,0
13,2
14,5
15,2
16,3
17,0
18,2
19,3
20,3
21,6
22,4
23,1
24,4
25,3
26,3
27,5
28,2
29,3
30,5
31,2
32,1
33,4
34,2
35,6
36,0
37,1
38,2
39,3
40,7
41,4
42,3
43,4
44,7
45,3
46,4
47,3
48,4
49,2
50,4
51,8
52,3
53,3
54,1
55,3
56,5
57,3
58,1
59,3
60,1
61,3
62,2
63,2
